"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Dato Fatimah","STANDING FORMS",9610,9.17055950196434,3840,"2016","0",12000,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Soo Pieng Cheong","PROGRESS",64050,11.0674193073249,29460,"1976","0",7056,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Roland Strasser","BALI GIRL WITH FRUITS",16010,9.68096880599076,10250,NA,"0",4125,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Theo Meier","YOUNG BALINESE WOMAN HOLDING A JUG ON HER HEAD",28820,10.2688248695535,7690,NA,"0",4265.25,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Arie Smit","RED TEMPLE IN BALI",240190,12.389185555788,25620,"1980","0",6141,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Arie Smit","PASSING THE TEMPLE",8810,9.08364271893022,2570,"2002","0",1080,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Arie Smit","RED TEMPLE PAINTED IN SANUR",9610,9.17055950196434,2560,"1983","0",1440.5,"0","0","1","1","0","0",2019,4,"Monday",0,0,1,1,0,0,0,0,0,0
"Mochtar Apin","HOUSES",14410,9.57567768899357,2560,"1959","0",3300,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Fajar Siddik","UNTITLED",9610,9.17055950196434,2570,"1974","0",8239,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Abdul Djalil Pirous","Untitled",6410,8.76561454991472,2570,"1969","0",7821,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Popo Iskandar","JALA-JALA PANTAI (SHORE FISHING NET)",9610,9.17055950196434,2560,"1972","0",9065,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Zaini","UNTITLED",4803,8.47699600166482,2567,"1976","0",6175,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Abdul Djalil Pirous","LEMBAH TAMAN SARI",5120,8.54090971803355,2951,"1968","0",2727,"0","0","1","1","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"But Mochtar","TWO WOMEN",44840,10.7108558771861,24340,"1963","0",6118.75,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Jeihan Sukmantara","SUTI",3202,8.07153089355666,2558,"2005","0",21000,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Mochtar Apin","HABITANT DE SUMATRA ORIENTAL SUR UNE CHAISE (INHABITANT OF EAST SUMATRA ON A CHAIR)",7210,8.88322423027899,2567,"1951","0",789.25,"0","0","1","1","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Shrihadi Soedarsono","BEDHOYO KETAWANG - SPIRITUAL DIALOGUE",51240,10.8442757560107,10250,"2005","0",5580,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"I Nyoman Gunarsa","PENARI (DANCER)",5600,8.63052187672324,2570,"1996","0",21097.5,"0","0","0","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Rusli","FESTIVAL",8010,8.9884460400624,2560,"1976","0",4500,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Arifien Neif","JEMBATAN RIALTO, VENESIA (RIALTO BRIDGE, VENICE)",9610,9.17055950196434,2567,"1998","0",4200,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Sudjana Kerton","HARVEST",256200,12.4537136684448,25620,"1983","0",9211.5,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
